1,00:00:00,00:00:00
1,00:00:40,00:01:00
1,00:01:40,00:02:00
1,00:03:40,00:04:00
1,00:04:40,00:05:00
1,00:05:40,00:06:00
1,00:06:40,00:07:00
1,00:07:40,00:08:00
1,00:08:40,00:09:00
1,00:10:40,00:11:00
1,00:11:40,00:12:00
1,00:12:40,00:13:00
1,00:15:40,00:16:00
1,00:16:40,00:17:00
1,00:17:40,00:18:00
1,00:18:40,00:19:00
1,00:21:40,00:22:00
1,00:23:40,00:24:00
1,00:24:40,00:25:00
1,00:27:40,00:28:00
1,00:29:40,00:30:00
1,00:31:40,00:32:00
1,00:33:40,00:34:00
1,00:35:40,00:36:00
1,00:36:40,00:37:00
1,00:38:40,00:39:00
1,00:39:40,00:40:00
1,00:40:40,00:41:00
1,00:41:40,00:42:00
1,00:42:40,00:43:00
1,00:44:40,00:45:00
1,00:45:40,00:46:00
1,00:46:40,00:47:00
1,00:48:40,00:49:00
1,00:49:40,00:50:00
1,00:51:40,00:51:40

12,00:00:00,00:00:00
12,00:00:40,00:01:00
12,00:01:40,00:02:00
12,00:02:40,00:03:00
12,00:03:40,00:04:00
12,00:04:40,00:05:00
12,00:06:40,00:07:00
12,00:08:40,00:09:00
12,00:10:40,00:11:00
12,00:11:40,00:12:00
12,00:13:40,00:14:00
12,00:16:40,00:17:00
12,00:18:40,00:19:00
12,00:20:40,00:21:00
12,00:21:40,00:22:00
12,00:23:40,00:24:00
12,00:25:40,00:26:00
12,00:26:40,00:27:00
12,00:27:40,00:28:00
12,00:28:40,00:29:00
12,00:30:40,00:31:00
12,00:32:40,00:32:40

2,00:00:00,00:00:00
2,00:00:40,00:01:00
2,00:01:40,00:02:00
2,00:02:40,00:03:00
2,00:03:40,00:04:00
2,00:05:40,00:06:00
2,00:06:40,00:07:00
2,00:08:40,00:09:00
2,00:09:40,00:10:00
2,00:11:40,00:12:00
2,00:12:40,00:13:00
2,00:14:40,00:15:00
2,00:16:40,00:17:00
2,00:17:40,00:18:00
2,00:20:40,00:21:00
2,00:22:40,00:23:00
2,00:24:40,00:25:00
2,00:26:40,00:27:00
2,00:28:40,00:29:00
2,00:30:40,00:31:00
2,00:31:40,00:32:00
2,00:33:40,00:33:40

53,00:00:00,00:00:00
53,00:00:40,00:01:00
53,00:01:40,00:02:00
53,00:03:40,00:04:00
53,00:04:40,00:05:00
53,00:05:40,00:06:00
53,00:07:40,00:08:00
53,00:09:40,00:10:00
53,00:10:40,00:11:00
53,00:11:40,00:12:00
53,00:13:40,00:14:00
53,00:14:40,00:15:00
53,00:16:40,00:17:00
53,00:17:40,00:18:00
53,00:18:40,00:19:00
53,00:19:40,00:20:00
53,00:21:40,00:22:00
53,00:22:40,00:23:00
53,00:23:40,00:24:00
53,00:24:40,00:24:40

